City,Country,Max Temp,Lat,Lng,Hotel Name
Hithadhoo,MV,80.58,-0.6,73.0833,Pebbles Inn
San Andres,CO,84.22,12.5847,-81.7006,Hotel Decameron Isleño
Port-Gentil,GA,80.56,-0.7193,8.7815,Tara-Mé
Kapaa,US,84.18,22.0752,-159.319,Pono Kai Resort
Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
Georgetown,MY,80.24,5.4112,100.3354,Page 63 hostel
Hilo,US,86.29,19.7297,-155.09,Dolphin Bay Hotel
Faanui,PF,80.4,-16.4833,-151.75,Oa Oa Lodge
Isangel,VU,87.91,-19.55,169.2667,Tanna Lodge
Puerto Narino,CO,81.75,-3.7703,-70.3831,Eco Hotel Euare
Ternate,ID,81.32,0.8,127.4,Boulivard ternate
Tual,ID,81.36,-5.6667,132.75,Suita
Namatanai,PG,85.03,-3.6667,152.4333,Namatanai Hotel
Kavieng,PG,83.77,-2.5744,150.7967,Kavieng Hotel
Lorengau,PG,84.63,-2.0226,147.2712,Seeadler Bay Hotel
Port Blair,IN,80.26,11.6667,92.75,Andaman Ocean Breeze
Concordia,AR,89.78,-31.393,-58.0209,Hotel Casa Vieja
Manati,PR,80.67,18.4275,-66.4921,Hyatt Place - Manatí
Kapoeta,SS,81.9,4.7717,33.5903,Kuleu
Sucua,EC,81.34,-2.4667,-78.1667,HOTEL BARZA
Makakilo City,US,83.95,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
Tefe,BR,89.71,-3.3542,-64.7114,Hotel Montecarlo
Porto Novo,BJ,82.22,6.4965,2.6036,Hôtel 6500 CFA
Conde,BR,80.06,-7.2597,-34.9075,Paladino
Kathu,TH,84.74,7.9178,98.3332,Tinidee Hotel
Anloga,GH,80.65,5.7947,0.8973,Hotel de White House
Mandera,KE,81.0,3.9366,41.867,Kornesh Hotel and Lodging
The Valley,AI,80.46,18.217,-63.0578,CeBlue
Honiara,SB,85.21,-9.4333,159.95,King Solomon Hotel
Cabo San Lucas,MX,81.61,22.8909,-109.9124,Comfort Rooms
Karratha,AU,83.17,-20.7377,116.8463,Karratha International Hotel
Kahului,US,83.97,20.8947,-156.47,Maui Seaside Hotel
Acapulco,MX,85.82,16.8634,-99.8901,Hotel del Valle
Anori,BR,81.39,-3.7728,-61.6442,NOVO HOTEL
Bubaque,GW,81.82,11.2833,-15.8333,Chez Julio
Tinaquillo,VE,84.27,9.9186,-68.3047,Hotel GN
Noumea,NC,87.78,-22.2763,166.4572,Hotel Gondwana
Vaitape,PF,80.38,-16.5167,-151.75,Oa Oa Lodge
Santa Maria,BR,85.3,-29.6842,-53.8069,Hotel Morotin
Nieves,PH,80.11,15.3274,120.9485,"Nipa Hut Hotel, Resort, & Sports Complex"
